league,mean_goals_per_90,median_goals_per_90,std_goals_per_90
Belgium Jupiler League,1.3353318378763026,1.3123464936397962,0.3951482093016086
England Premier League,1.2756946111025471,1.2013515086476114,0.3853331492050742
France Ligue 1,1.1556702123423677,1.125,0.3144537489368318
Germany 1. Bundesliga,1.3323247639117886,1.2851239669421486,0.3933198544712987
Italy Serie A,1.2422812100256695,1.1905594405594406,0.3415007212781482
Netherlands Eredivisie,1.4564217057195237,1.388157894736842,0.4499040363318792
Poland Ekstraklasa,1.2457996289913904,1.234126984126984,0.291213337864825
Portugal Liga ZON Sagres,1.2377239319217939,1.149546827794562,0.460786752828174
Scotland Premier League,1.2716061476504221,1.1825313807531381,0.4278312010697671
Spain LIGA BBVA,1.2861811857386352,1.1762749445676275,0.4926461413937582
Switzerland Super League,1.4210633613973263,1.3641975308641974,0.41076030644509104
